id,rank,pop,core,names,name,source
52736,195,3142828,Y,"[""Maputo"", ""Matola""]",Maputo-Matola,OSM
20004,196,3121956,Y,"[""Multan""]",Multan,OSM
29820,197,3102174,Y,"[""Dhanbad""]",Dhanbad,OSM
26873,198,3099355,Y,"[""Prayagraj""]",Prayagraj,OSM
50670,199,3080267,Y,"[""Samambaia"", ""Taguatinga"", ""Gama"", ""Recanto das Emas"", ""Santa Maria""]",Samambaia-Taguatinga-Gama,OSM
3301,200,3075041,Y,"[""Frankfurt""]",Frankfurt,OSM
38635,201,3017372,Y,"[""Ouagadougou""]",Ouagadougou,OSM
40523,202,3009277,Y,"[""Caracas""]",Caracas,OSM
14587,203,3004520,Y,"[""Jiaozuo""]",Jiaozuo,OSM
7610,204,2981374,Y,"[""Boston""]",Boston,OSM
12295,205,2950612,Y,"[""Weifang""]",Weifang,OSM
52457,206,2922729,Y,"[""Curitiba""]",Curitiba,OSM
49240,207,2898273,Y,"[""Tasikmalaya""]",Tasikmalaya,OSM
11571,208,2884931,Y,"[""Tunis""]",Tunis,OSM
1913,209,2880219,Y,"[""Birmingham""]",Birmingham,OSM
41315,210,2871134,Y,"[""Cebu City"", ""Lapu-Lapu""]",Cebu City-Lapu-Lapu,OSM
9336,211,2866315,Y,"[""Baku""]",Baku,OSM
15540,212,2851539,Y,"[""Abbottabad"", ""Muzaffarabad""]",Abbottabad-Muzaffarabad,OSM
26531,213,2844123,Y,"[""Hyderabad""]",Hyderabad,OSM
10808,214,2837929,Y,"[""Izmir""]",Izmir,Geonames
23835,215,2789053,Y,"[""Agra""]",Agra,OSM
40425,216,2772129,Y,"[""Heredia"", ""Cartago""]",Heredia-Cartago,OSM
12954,217,2770414,Y,"[""Aleppo""]",Aleppo,OSM
13264,218,2765746,Y,"[""Lanzhou""]",Lanzhou,OSM
49632,219,2760406,Y,"[""Mataram""]",Mataram,OSM
8832,220,2724811,Y,"[""Denver"", ""Aurora""]",Denver-Aurora,OSM
46675,221,2721757,Y,"[""Quito""]",Quito,OSM
45698,222,2716673,Y,"[""Cali""]",Cali,OSM
52914,223,2713060,Y,"[""Brisbane""]",Brisbane,OSM
24792,224,2707645,Y,"[""Dammam""]",Dammam,OSM
3467,225,2672911,Y,"[""Katowice"", ""Sosnowiec"", ""Gliwice"", ""Zabrze"", ""Bytom""]",Katowice-Sosnowiec-Gliwice,OSM
31073,226,2662030,Y,"[""Bhopal""]",Bhopal,OSM
49622,227,2656247,Y,"[""Denpasar""]",Denpasar,OSM
20235,228,2649168,Y,"[""Chandigarh""]",Chandigarh,OSM
17280,229,2647698,Y,"[""Huai'an""]",Huai'an,OSM
3217,230,2643034,Y,"[""Lille""]",Lille,OSM
5748,231,2619927,Y,"[""Minneapolis"", ""Saint Paul""]",Minneapolis-Saint Paul,OSM
51859,232,2607937,Y,"[""Campinas""]",Campinas,OSM
17998,233,2606868,Y,"[""Sialkot""]",Sialkot,OSM
48552,234,2580904,Y,"[""Makassar""]",Makassar,OSM
9907,235,2579101,Y,"[""Lisbon""]",Lisbon,OSM
21085,236,2575244,Y,"[""Faiyum""]",Faiyum,OSM
41488,237,2573875,Y,"[""Conakry""]",Conakry,OSM
23456,238,2563403,Y,"[""Tampa"", ""Saint Petersburg""]",Tampa-Saint Petersburg,OSM
12480,239,2560847,Y,"[""Las Vegas""]",Las Vegas,OSM
8728,240,2546166,Y,"[""Anshan"", ""Liaoyang""]",Anshan-Liaoyang,OSM
14921,241,2535466,Y,"[""Daegu""]",Daegu,OSM
20776,242,2529632,Y,"[""Huanggang""]",Huanggang,OSM
8057,243,2521170,Y,"[""Salt Lake City"", ""West Valley City"", ""Provo""]",Salt Lake City-West Valley City-Provo,OSM
44139,244,2512703,Y,"[""Lome""]",Lome,Geonames
50827,245,2512083,Y,"[""Trindade""]",Trindade,OSM
2252,246,2505562,Y,"[""Warsaw""]",Warsaw,OSM
17774,247,2465473,Y,"[""Isfahan""]",Isfahan,OSM
11032,248,2449876,Y,"[""Dushanbe""]",Dushanbe,OSM
3697,249,2437553,Y,"[""Vancouver"", ""Surrey""]",Vancouver-Surrey,OSM
20940,250,2436076,Y,"[""Jiaxing""]",Jiaxing,OSM
1589,251,2415392,Y,"[""Hamburg""]",Hamburg,OSM
27594,252,2397731,Y,"[""Guwahati""]",Guwahati,OSM
19104,253,2390892,Y,"[""Ludhiana""]",Ludhiana,OSM
7304,254,2386040,Y,"[""Almaty""]",Almaty,OSM
42508,255,2384980,Y,"[""Abuja""]",Abuja,OSM
9504,256,2375180,Y,"[""Baotou""]",Baotou,OSM
4978,257,2360747,Y,"[""Budapest""]",Budapest,OSM
50135,258,2355692,Y,"[""Lubumbashi""]",Lubumbashi,OSM
37640,259,2351054,Y,"[""San Salvador""]",San Salvador,OSM
51032,260,2339187,Y,"[""Harare""]",Harare,OSM
30953,261,2333472,Y,"[""Vadodara""]",Vadodara,OSM
32721,262,2332995,Y,"[""Maoming""]",Maoming,OSM
17029,263,2325300,Y,"[""Linquan"", ""Xiangcheng"", ""Shenqiu"", ""Jieshou""]",Linquan-Xiangcheng-Shenqiu,OSM
4432,264,2324984,Y,"[""Vienna""]",Vienna,OSM
35228,265,2319031,Y,"[""Visakhapatnam""]",Visakhapatnam,OSM
25256,266,2312409,Y,"[""Gorakhpur""]",Gorakhpur,OSM
33590,267,2307679,Y,"[""Toluca"", ""Lerma""]",Toluca-Lerma,OSM
40232,268,2292612,Y,"[""Cuddalore"", ""Puducherry""]",Cuddalore-Puducherry,OSM
4906,269,2275830,Y,"[""Munich""]",Munich,OSM
15570,270,2271879,Y,"[""Srinagar""]",Srinagar,OSM
21040,271,2262747,Y,"[""Orlando""]",Orlando,OSM
41171,272,2262438,Y,"[""Madurai""]",Madurai,OSM
9187,273,2246831,Y,"[""Bursa""]",Bursa,OSM
47290,274,2244069,Y,"[""Manaus""]",Manaus,OSM
40482,275,2243478,Y,"[""Maracaibo""]",Maracaibo,OSM
31987,276,2225095,Y,"[""Mecca""]",Mecca,OSM
40443,277,2204343,Y,"[""Barranquilla""]",Barranquilla,OSM
47834,278,2203723,Y,"[""Palembang""]",Palembang,OSM
9507,279,2198741,Y,"[""Hohhot""]",Hohhot,OSM
6573,280,2197445,Y,"[""Bucharest""]",Bucharest,OSM
16096,281,2188602,Y,"[""Pizhou"", ""Xinyi"", ""Tancheng""]",Pizhou-Xinyi-Tancheng,OSM
21000,282,2173076,Y,"[""San Antonio""]",San Antonio,OSM
33346,283,2170286,Y,"[""Bhubaneshwar""]",Bhubaneshwar,OSM
18592,284,2168165,Y,"[""El Paso""]",El Paso,OSM
47007,285,2156135,Y,"[""Ananindeua""]",Ananindeua,OSM
17656,286,2149888,Y,"[""Jerusalem""]",Jerusalem,OSM
8044,287,2140908,Y,"[""Sapporo""]",Sapporo,OSM
49269,288,2128165,Y,"[""Pekalongan"", ""Pemalang""]",Pekalongan-Pemalang,OSM
1258,289,2114510,Y,"[""Minsk""]",Minsk,OSM
34322,290,2097819,Y,"[""Port-au-Prince""]",Port-au-Prince,OSM
5720,291,2091861,Y,"[""Portland""]",Portland,OSM
273,292,2089321,Y,"[""Stockholm""]",Stockholm,OSM
16061,293,2080314,Y,"[""Xuzhou""]",Xuzhou,OSM
19905,294,2076211,Y,"[""Basra""]",Basra,OSM
